,Estado,Cidade,Valor_aluguel,Valor_condomínio,Valor_iptu,Área_total,Qt_quartos,Qt_vagas,Qt_banheiros,Academia,Acesso_para_deficientes,Ar_condicionado,Área_de_serviço,Armário_embutido,Armário_na_cozinha,Bicicletário,Churrasqueira,Circuito_de_segurança,Conexão_à_internet,Elevador,Espaço_gourmet,Garagem,Interfone,Lavanderia,Mobiliado,Piscina,Playground,Quadra_de_tênis,Quadra_poliesportiva,Salão_de_festas,Sauna,Segurança_24h,Sistema_de_alarme,Spa,Varanda
1167,mg,belo horizonte,2500.0,895.0,264.0,150.0,4.0,2.0,4.0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,0
7651,pa,belem,6300.0,0.0,0.0,198.0,4.0,3.0,5.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0
11130,sc,florianopolis,1900.0,350.0,0.0,31.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
4491,sp,sao-paulo,3000.0,404.0,167.0,60.0,1.0,1.0,1.0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
8335,go,goiania,2100.0,310.0,42.0,38.0,1.0,1.0,1.0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5486,pi,teresina,1200.0,258.0,0.0,64.0,2.0,0.0,1.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17101,pe,recife,1300.0,440.0,122.0,45.0,1.0,1.0,1.0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0
2502,df,brasilia,1813.0,399.0,613.0,29.0,1.0,1.0,1.0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0
4360,sp,sao-paulo,4900.0,2965.0,700.0,210.0,3.0,2.0,3.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
4171,sp,sao-paulo,3500.0,675.0,100.0,65.0,2.0,1.0,2.0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1
